Cust_Chn_Nm	UNT_NAM	Trx_Amt
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	55504.50
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-5665.35
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	31572.70
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-4190.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-3692279.51
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-20090.50
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-22193.20
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	152.63
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-1961754.58
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-45523.53
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-2590.28
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-4576.73
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-53238.14
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-18600.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	375790.09
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	8876.40
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	3072.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-51993.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-6105.64
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-33132.45
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-61477.65
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-1482987.66
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	8378.88
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-37103.36
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-41521.85
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-102246.69
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-6754.50
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-3173.12
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	11909.76
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-509600.62
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-20801.05
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	269.95
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-1817.25
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-14193.98
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	4004230.92
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-129483.46
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	58507.76
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	189569.30
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	6537805.47
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-321286.12
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	7967.78
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	39908.75
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-49000.00
